activation_protocol,associated_governance,audio_file,binary_pattern,bonded_to,capabilities,contraindications,core_principle,dispute_resolution,divination_use,dosage,endpoint_id,english,entity_id,essence,ethical_guidance,frequency,id,implementation_status,insignia,interpretation,labels,layer,local_names,manifestation,medicinal_uses,method,name,name_english,name_yoruba,odu_number,origin,origin_country,origin_region,philosophy_embodied,pos,preparation,rate_limit,region,regions,related_healing_practice,related_proverbs,related_themes,ritual_context,role,scientific_name,speaker,spiritual_component,spiritual_use,status,strengths,syllables,symbolic_meaning,title,tone_pattern,version,vows,word
,,,11000011,,,,,,Faith battles,,,,,,,,849,,,Spiritual warfare - holy combat,OduIfa:SoulLayer,,,,,,,Conflict Spiritualizes,Odi-Fun,195,,,,,,,,,,,,"['spiritual', 'warfare', 'holy']",Holy combat,,,,,,,,,Spiritual warfare,,,,,
,,,11000100,,,,,,Earthly spirituality,,,,,,,,850,,,Grounded spirituality - material mysticism,OduIfa:SoulLayer,,,,,,,Earth Spiritualizes,Irosun-Fun,196,,,,,,,,,,,,"['grounded', 'material', 'spiritual']",Material mysticism,,,,,,,,,Grounded faith,,,,,
,,,11000101,,,,,,Ecstatic spirituality,,,,,,,,851,,,Ecstatic spirituality - wild mysticism,OduIfa:SoulLayer,,,,,,,Chaos Spiritualizes,Owonrin-Fun,197,,,,,,,,,,,,"['chaos', 'ecstatic', 'spiritual']",Wild mysticism,,,,,,,,,Chaotic faith,,,,,
,,,11000110,,,,,,Faith evolution,,,,,,,,852,,,Spiritual evolution - mystical transformation,OduIfa:SoulLayer,,,,,,,Change Spiritualizes,Obara-Fun,198,,,,,,,,,,,,"['spiritual', 'transformation', 'mystical']",Mystical evolution,,,,,,,,,Spiritual transformation,,,,,
,,,11000111,,,,,,Blessed spirituality,,,,,,,,853,,,Lucky spirituality - fortunate mysticism,OduIfa:SoulLayer,,,,,,,Fortune Spiritualizes,Okonron-Fun,199,,,,,,,,,,,,"['fortune', 'spiritual', 'blessed']",Fortunate mysticism,,,,,,,,,Lucky faith,,,,,
,,,11001000,,,,,,Sacred warfare,,,,,,,,854,,,Spiritual warfare - holy combat,OduIfa:SoulLayer,,,,,,,Warrior Spiritualizes,Ogunda-Fun,200,,,,,,,,,,,,"['spiritual', 'warfare', 'sacred']",Holy combat,,,,,,,,,Warrior spirituality,,,,,
,,,11001001,,,,,,Era spirituality,,,,,,,,855,,,Historical spirituality - temporal mysticism,OduIfa:SoulLayer,,,,,,,Time Spiritualizes,Osa-Fun,201,,,,,,,,,,,,"['temporal', 'spiritual', 'history']",Temporal mysticism,,,,,,,,,Historical faith,,,,,
,,,11001010,,,,,,Holy networks,,,,,,,,856,,,Spiritual networks - mystical connections,OduIfa:SoulLayer,,,,,,,Web Spiritualizes,Ika-Fun,202,,,,,,,,,,,,"['spiritual', 'mystical', 'network']",Mystical connections,,,,,,,,,Spiritual alliances,,,,,
,,,11001011,,,,,,Holy currents,,,,,,,,857,,,Spiritual currents - mystical flows,OduIfa:SoulLayer,,,,,,,Flow Spiritualizes,Oturupon-Fun,203,,,,,,,,,,,,"['spiritual', 'mystical', 'flow']",Mystical flows,,,,,,,,,Spiritual streams,,,,,
,,,11001100,,,,,,Passionate spirituality,,,,,,,,858,,,Passionate spirituality - burning faith,OduIfa:SoulLayer,,,,,,,Fire Spiritualizes,Otura-Fun,204,,,,,,,,,,,,"['passion', 'spiritual', 'intensity']",Burning faith,,,,,,,,,Intense mysticism,,,,,
,,,11001101,,,,,,Stressed spirituality,,,,,,,,859,,,Stressed spirituality - burdened faith,OduIfa:SoulLayer,,,,,,,Pressure Spiritualizes,Irete-Fun,205,,,,,,,,,,,,"['pressure', 'spiritual', 'burden']",Burdened faith,,,,,,,,,Pressured mysticism,,,,,
,,,11001110,,,,,,Victory spirituality,,,,,,,,860,,,Triumphant spirituality - victorious faith,OduIfa:SoulLayer,,,,,,,Victory Spiritualizes,Ose-Fun,206,,,,,,,,,,,,"['victory', 'spiritual', 'triumph']",Victorious faith,,,,,,,,,Triumphant mysticism,,,,,
,,,11001111,,,,,,Total enlightenment,,,,,,,,861,,,Ultimate spirituality - complete mysticism,OduIfa:SoulLayer,,,,,,,Double Spirit,Ofun-Meji,207,,,,,,,,,,,,"['ultimate', 'complete', 'total']",Complete mysticism,,,,,,,,,Ultimate spirituality,,,,,
,,,11010000,,,,,,Divine battles,,,,,,,,862,,,Divine warfare - holy combat,OduIfa:SoulLayer,,,,,,,Light Wars,Ogbe-Gunda,208,,,,,,,,,,,,"['divine', 'warfare', 'holy']",Holy warfare,,,,,,,,,Sacred combat,,,,,
,,,11010001,,,,,,Secret battles,,,,,,,,863,,,Occult warfare - hidden combat,OduIfa:SoulLayer,,,,,,,Darkness Wars,Oyeku-Gunda,209,,,,,,,,,,,,"['occult', 'warfare', 'hidden']",Occult combat,,,,,,,,,Hidden warfare,,,,,
,,,11010010,,,,,,Journey battles,,,,,,,,864,,,Journey warfare - quest combat,OduIfa:SoulLayer,,,,,,,Path Wars,Iwori-Gunda,210,,,,,,,,,,,,"['journey', 'warfare', 'quest']",Quest combat,,,,,,,,,Path warfare,,,,,
,,,11010011,,,,,,Total battles,,,,,,,,865,,,Maximum warfare - ultimate combat,OduIfa:SoulLayer,,,,,,,Double Conflict,Odi-Gunda,211,,,,,,,,,,,,"['ultimate', 'complete', 'total']",Ultimate warfare,,,,,,,,,Complete combat,,,,,
,,,11010100,,,,,,Resource battles,,,,,,,,866,,,Material warfare - economic combat,OduIfa:SoulLayer,,,,,,,Earth Wars,Irosun-Gunda,212,,,,,,,,,,,,"['economics', 'warfare', 'resources']",Economic warfare,,,,,,,,,Material combat,,,,,
,,,11010101,,,,,,Unpredictable battles,,,,,,,,867,,,Chaotic warfare - random combat,OduIfa:SoulLayer,,,,,,,Chaos Wars,Owonrin-Gunda,213,,,,,,,,,,,,"['chaos', 'warfare', 'random']",Chaotic combat,,,,,,,,,Random warfare,,,,,
,,,11010110,,,,,,Revolutionary battles,,,,,,,,868,,,Transformative warfare - evolutionary combat,OduIfa:SoulLayer,,,,,,,Change Wars,Obara-Gunda,214,,,,,,,,,,,,"['evolution', 'warfare', 'revolutionary']",Evolution warfare,,,,,,,,,Transformative combat,,,,,
,,,11010111,,,,,,Profitable battles,,,,,,,,869,,,Lucky warfare - fortunate combat,OduIfa:SoulLayer,,,,,,,Fortune Wars,Okonron-Gunda,215,,,,,,,,,,,,"['fortune', 'warfare', 'profitable']",Fortunate combat,,,,,,,,,Lucky warfare,,,,,
,,,11011000,,,,,,Total battle,,,,,,,,870,,,Maximum combat - ultimate warfare,OduIfa:SoulLayer,,,,,,,Double Warrior,Ogunda-Meji,216,,,,,,,,,,,,"['ultimate', 'complete', 'total']",Ultimate combat,,,,,,,,,Complete warfare,,,,,
,,,11011001,,,,,,Era battles,,,,,,,,871,,,Historical warfare - temporal combat,OduIfa:SoulLayer,,,,,,,Time Wars,Osa-Gunda,217,,,,,,,,,,,,"['temporal', 'warfare', 'history']",Temporal warfare,,,,,,,,,Historical combat,,,,,
,,,11011010,,,,,,Connection battles,,,,,,,,872,,,Network warfare - connection combat,OduIfa:SoulLayer,,,,,,,Web Wars,Ika-Gunda,218,,,,,,,,,,,,"['network', 'warfare', 'alliance']",Network combat,,,,,,,,,Alliance warfare,,,,,
,,,11011011,,,,,,Current battles,,,,,,,,873,,,Current warfare - flow combat,OduIfa:SoulLayer,,,,,,,Flow Wars,Oturupon-Gunda,219,,,,,,,,,,,,"['flow', 'warfare', 'stream']",Flow combat,,,,,,,,,Stream warfare,,,,,
,,,11011100,,,,,,Passionate battles,,,,,,,,874,,,Passionate warfare - burning combat,OduIfa:SoulLayer,,,,,,,Fire Wars,Otura-Gunda,220,,,,,,,,,,,,"['passion', 'warfare', 'intensity']",Burning combat,,,,,,,,,Intense warfare,,,,,
,,,11011101,,,,,,Burden battles,,,,,,,,875,,,Stressed warfare - burdened combat,OduIfa:SoulLayer,,,,,,,Pressure Wars,Irete-Gunda,221,,,,,,,,,,,,"['pressure', 'warfare', 'burden']",Stressed combat,,,,,,,,,Pressured warfare,,,,,
,,,11011110,,,,,,Winning battles,,,,,,,,876,,,Triumphant warfare - victorious combat,OduIfa:SoulLayer,,,,,,,Victory Wars,Ose-Gunda,222,,,,,,,,,,,,"['victory', 'warfare', 'winning']",Victorious combat,,,,,,,,,Triumphant warfare,,,,,
,,,11011111,,,,,,Holy battles,,,,,,,,877,,,Spiritual warfare - mystical combat,OduIfa:SoulLayer,,,,,,,Spirit Wars,Ofun-Gunda,223,,,,,,,,,,,,"['spiritual', 'warfare', 'holy']",Mystical combat,,,,,,,,,Spiritual warfare,,,,,
,,,11100000,,,,,,Holy networks,,,,,,,,878,,,Divine networks - sacred connections,OduIfa:SoulLayer,,,,,,,Light Connects,Ogbe-Ka,224,,,,,,,,,,,,"['divine', 'connections', 'sacred']",Sacred connections,,,,,,,,,Divine alliances,,,,,
,,,11100001,,,,,,Secret networks,,,,,,,,879,,,Occult networks - hidden connections,OduIfa:SoulLayer,,,,,,,Darkness Connects,Oyeku-Ka,225,,,,,,,,,,,,"['occult', 'connections', 'hidden']",Occult connections,,,,,,,,,Hidden alliances,,,,,
,,,11100010,,,,,,Journey networks,,,,,,,,880,,,Journey networks - quest connections,OduIfa:SoulLayer,,,,,,,Path Connects,Iwori-Ka,226,,,,,,,,,,,,"['journey', 'connections', 'quest']",Quest connections,,,,,,,,,Path alliances,,,,,
,,,11100011,,,,,,Battle networks,,,,,,,,881,,,War alliances - battle networks,OduIfa:SoulLayer,,,,,,,Conflict Connects,Odi-Ka,227,,,,,,,,,,,,"['war', 'alliances', 'combat']",War alliances,,,,,,,,,Combat connections,,,,,
,,,11100100,,,,,,Resource networks,,,,,,,,882,,,Economic networks - material connections,OduIfa:SoulLayer,,,,,,,Earth Connects,Irosun-Ka,228,,,,,,,,,,,,"['economics', 'connections', 'resources']",Economic connections,,,,,,,,,Material alliances,,,,,
,,,11100101,,,,,,Unpredictable networks,,,,,,,,883,,,Chaotic networks - random connections,OduIfa:SoulLayer,,,,,,,Chaos Connects,Owonrin-Ka,229,,,,,,,,,,,,"['chaos', 'connections', 'random']",Chaotic connections,,,,,,,,,Random alliances,,,,,
,,,11100110,,,,,,Revolutionary networks,,,,,,,,884,,,Transformative networks - evolutionary connections,OduIfa:SoulLayer,,,,,,,Change Connects,Obara-Ka,230,,,,,,,,,,,,"['evolution', 'connections', 'revolutionary']",Evolution connections,,,,,,,,,Transformative alliances,,,,,
,,,11100111,,,,,,Profitable networks,,,,,,,,885,,,Lucky networks - fortunate connections,OduIfa:SoulLayer,,,,,,,Fortune Connects,Okonron-Ka,231,,,,,,,,,,,,"['fortune', 'connections', 'profitable']",Fortunate connections,,,,,,,,,Lucky alliances,,,,,
,,,11101000,,,,,,Combat networks,,,,,,,,886,,,Military alliances - combat networks,OduIfa:SoulLayer,,,,,,,Warrior Connects,Ogunda-Ka,232,,,,,,,,,,,,"['military', 'alliances', 'combat']",Military alliances,,,,,,,,,Warrior connections,,,,,
,,,11101001,,,,,,Era networks,,,,,,,,887,,,Historical networks - temporal connections,OduIfa:SoulLayer,,,,,,,Time Connects,Osa-Ka,233,,,,,,,,,,,,"['temporal', 'connections', 'history']",Temporal connections,,,,,,,,,Historical alliances,,,,,
,,,11101010,,,,,,Total networks,,,,,,,,888,,,Maximum networks - ultimate connections,OduIfa:SoulLayer,,,,,,,Double Web,Ika-Meji,234,,,,,,,,,,,,"['ultimate', 'complete', 'total']",Ultimate connections,,,,,,,,,Complete alliances,,,,,
,,,11101011,,,,,,Current networks,,,,,,,,889,,,Current networks - flow connections,OduIfa:SoulLayer,,,,,,,Flow Connects,Oturupon-Ka,235,,,,,,,,,,,,"['flow', 'connections', 'stream']",Flow connections,,,,,,,,,Stream alliances,,,,,
,,,11101100,,,,,,Passionate networks,,,,,,,,890,,,Passionate networks - burning connections,OduIfa:SoulLayer,,,,,,,Fire Connects,Otura-Ka,236,,,,,,,,,,,,"['passion', 'connections', 'intensity']",Burning connections,,,,,,,,,Intense alliances,,,,,
,,,11101101,,,,,,Burden networks,,,,,,,,891,,,Stressed networks - burdened connections,OduIfa:SoulLayer,,,,,,,Pressure Connects,Irete-Ka,237,,,,,,,,,,,,"['pressure', 'connections', 'burden']",Stressed connections,,,,,,,,,Pressured alliances,,,,,
,,,11101110,,,,,,Winning networks,,,,,,,,892,,,Triumphant networks - victorious connections,OduIfa:SoulLayer,,,,,,,Victory Connects,Ose-Ka,238,,,,,,,,,,,,"['victory', 'connections', 'winning']",Victorious connections,,,,,,,,,Triumphant alliances,,,,,
,,,11101111,,,,,,Holy networks,,,,,,,,893,,,Spiritual networks - mystical connections,OduIfa:SoulLayer,,,,,,,Spirit Connects,Ofun-Ka,239,,,,,,,,,,,,"['spiritual', 'connections', 'mystical']",Mystical connections,,,,,,,,,Spiritual alliances,,,,,
,,,11110000,,,,,,Holy currents,,,,,,,,894,,,Divine currents - sacred flows,OduIfa:SoulLayer,,,,,,,Light Flows,Ogbe-Turupon,240,,,,,,,,,,,,"['divine', 'flows', 'sacred']",Sacred flows,,,,,,,,,Divine streams,,,,,
,,,11110001,,,,,,Secret currents,,,,,,,,895,,,Occult currents - hidden flows,OduIfa:SoulLayer,,,,,,,Darkness Flows,Oyeku-Turupon,241,,,,,,,,,,,,"['occult', 'flows', 'hidden']",Occult flows,,,,,,,,,Hidden streams,,,,,
,,,11110010,,,,,,Journey currents,,,,,,,,896,,,Journey currents - quest flows,OduIfa:SoulLayer,,,,,,,Path Flows,Iwori-Turupon,242,,,,,,,,,,,,"['journey', 'flows', 'quest']",Quest flows,,,,,,,,,Path streams,,,,,
,,,11110011,,,,,,Battle currents,,,,,,,,897,,,War currents - battle flows,OduIfa:SoulLayer,,,,,,,Conflict Flows,Odi-Turupon,243,,,,,,,,,,,,"['war', 'flows', 'combat']",War flows,,,,,,,,,Combat streams,,,,,
,,,11110100,,,,,,Resource currents,,,,,,,,898,,,Economic currents - material flows,OduIfa:SoulLayer,,,,,,,Earth Flows,Irosun-Turupon,244,,,,,,,,,,,,"['economics', 'flows', 'resources']",Economic flows,,,,,,,,,Material streams,,,,,
,,,11110101,,,,,,Unpredictable currents,,,,,,,,899,,,Chaotic currents - random flows,OduIfa:SoulLayer,,,,,,,Chaos Flows,Owonrin-Turupon,245,,,,,,,,,,,,"['chaos', 'flows', 'random']",Chaotic flows,,,,,,,,,Random streams,,,,,
,,,11110110,,,,,,Revolutionary currents,,,,,,,,900,,,Transformative currents - evolutionary flows,OduIfa:SoulLayer,,,,,,,Change Flows,Obara-Turupon,246,,,,,,,,,,,,"['evolution', 'flows', 'revolutionary']",Evolution flows,,,,,,,,,Transformative streams,,,,,
,,,11110111,,,,,,Profitable currents,,,,,,,,901,,,Lucky currents - fortunate flows,OduIfa:SoulLayer,,,,,,,Fortune Flows,Okonron-Turupon,247,,,,,,,,,,,,"['fortune', 'flows', 'profitable']",Fortunate flows,,,,,,,,,Lucky streams,,,,,
,,,11111000,,,,,,Combat currents,,,,,,,,902,,,Military currents - combat flows,OduIfa:SoulLayer,,,,,,,Warrior Flows,Ogunda-Turupon,248,,,,,,,,,,,,"['military', 'flows', 'combat']",Military flows,,,,,,,,,Warrior streams,,,,,
,,,11111001,,,,,,Era currents,,,,,,,,903,,,Historical currents - temporal flows,OduIfa:SoulLayer,,,,,,,Time Flows,Osa-Turupon,249,,,,,,,,,,,,"['temporal', 'flows', 'history']",Temporal flows,,,,,,,,,Historical streams,,,,,
,,,11111010,,,,,,Network currents,,,,,,,,904,,,Network currents - connection flows,OduIfa:SoulLayer,,,,,,,Web Flows,Ika-Turupon,250,,,,,,,,,,,,"['network', 'flows', 'alliance']",Connection flows,,,,,,,,,Alliance streams,,,,,
,,,11111011,,,,,,Total currents,,,,,,,,905,,,Maximum currents - ultimate flows,OduIfa:SoulLayer,,,,,,,Double Flow,Oturupon-Meji,251,,,,,,,,,,,,"['ultimate', 'complete', 'total']",Ultimate flows,,,,,,,,,Complete streams,,,,,
,,,11111100,,,,,,Passionate currents,,,,,,,,906,,,Passionate currents - burning flows,OduIfa:SoulLayer,,,,,,,Fire Flows,Otura-Turupon,252,,,,,,,,,,,,"['passion', 'flows', 'intensity']",Burning flows,,,,,,,,,Intense streams,,,,,
,,,11111101,,,,,,Burden currents,,,,,,,,907,,,Stressed currents - burdened flows,OduIfa:SoulLayer,,,,,,,Pressure Flows,Irete-Turupon,253,,,,,,,,,,,,"['pressure', 'flows', 'burden']",Stressed flows,,,,,,,,,Pressured streams,,,,,
,,,11111110,,,,,,Winning currents,,,,,,,,908,,,Triumphant currents - victorious flows,OduIfa:SoulLayer,,,,,,,Victory Flows,Ose-Turupon,254,,,,,,,,,,,,"['victory', 'flows', 'winning']",Victorious flows,,,,,,,,,Triumphant streams,,,,,
,,,11111111,,,,,,Total ending,,,,,,,,909,,,Ultimate ending - absolute completion,OduIfa:SoulLayer,,,,,,,Complete Closure,Ofun-Sa,255,,,,,,,,,,,,"['ultimate', 'complete', 'absolute']",Absolute completion,,,,,,,,,Complete closure,,,,,
,Ubuntu councils|Community courts,,,,,,I am because we are - collective humanity and interdependence,,,,,,,,Act with compassion; prioritize community wellbeing; seek consensus,,910,,,,SoulLayer:Philosophy,,,Community care|restorative justice|collective decision-making,,,Ubuntu,,,,,South Africa,Southern Africa,,,,,,,,Umuntu ngumuntu ngabantu (A person is a person through other people),,,,,,,,,,,,,,,,
,Dare council|Clan assemblies,,,,,,Interconnectedness of all things - web of relationships,,,,,,,,Honor all relationships; recognize interdependence; maintain balance,,911,,,,SoulLayer:Philosophy,,,Extended family systems|communal land ownership|mutual obligation,,,Ukama,,,,,Zimbabwe,Southern Africa,,,,,,,,Ukama igasva hunozadziswa nekudya (Kinship is never complete without sharing food),,,,,,,,,,,,,,,,
,Village cooperatives|Collective councils,,,,,,Familyhood and collective cooperation - African socialism,,,,,,,,Share resources; work collectively; build communal prosperity,,912,,,,SoulLayer:Philosophy,,,Cooperative economics|collective farming|shared resources,,,Ujamaa,,,,,Tanzania,East Africa,,,,,,,,Haba na haba hujaza kibaba (Little by little fills the measure),,,,,,,,,,,,,,,,
,Council of Elders|Traditional authorities,,,,,,Learn from the past to build the future - historical wisdom,,,,,,,,Honor ancestors; learn from history; carry wisdom forward,,913,,,,SoulLayer:Philosophy,,,Cultural preservation|intergenerational knowledge transfer|ancestor veneration,,,Sankofa,,,,,Ghana,West Africa,,,,,,,,Se wo were fi na wosankofa a yenkyi (It is not taboo to go back and fetch what you forgot),,,,,,,,,,,,,,,,
,Pharaonic courts|Priestly councils,,,,,,Truth|balance|order|harmony|justice - cosmic equilibrium,,,,,,,,Speak truth; maintain balance; act with justice; honor divine order,,914,,,,SoulLayer:Philosophy,,,Fair judgment|balanced governance|truthful speech|righteous action,,,Ma'at,,,,,Egypt,North Africa,,,,,,,,The heart must be lighter than the feather of Ma'at,,,,,,,,,,,,,,,,
,Ancestral councils|Spirit mediums,,,,,,Vital force present in all beings - life energy,,,,,,,,Increase life force; connect with ancestors; honor spiritual energy,,915,,,,SoulLayer:Philosophy,,,Spiritual interconnection|vitality transfer|ancestral power flow,,,Ntu,,,,,Central Africa,Central Africa,,,,,,,,Muntu ke muntu ka batho (A person is a person through people),,,,,,,,,,,,,,,,
,Traditional courts|Moral councils,,,,,,Personhood and moral integrity - becoming fully human,,,,,,,,Build good character; act with integrity; respect others,,916,,,,SoulLayer:Philosophy,,,Character development|moral education|community accountability,,,Hunhu/Unhu,,,,,Zimbabwe,Southern Africa,,,,,,,,Munhu munhu nevanhu (A person is a person through others),,,,,,,,,,,,,,,,
,Service councils|Community forums,,,,,,People first - service to community above self,,,,,,,,Put people first; serve community; lead with humility,,917,,,,SoulLayer:Philosophy,,,Public service|community welfare|servant leadership,,,Batho Pele,,,,,South Africa,Southern Africa,,,,,,,,Umntu akalahlwa (A person is not thrown away),,,,,,,,,,,,,,,,
,Age-grade systems|Community committees,,,,,,Pulling together - collective self-help and mutual assistance,,,,,,,,Work together; help each other; build collectively,,918,,,,SoulLayer:Philosophy,,,Community projects|cooperative labor|mutual aid,,,Harambee,,,,,Kenya,East Africa,,,,,,,,Watu wawili wanapopigana ziumiazo ni nyasi (When two elephants fight the grass suffers),,,,,,,,,,,,,,,,
,Clan councils|Community elders,,,,,,Extended familyhood - beyond blood relations,,,,,,,,Welcome strangers; share resources; extend family bonds,,919,,,,SoulLayer:Philosophy,,,Communal living|hospitality|mutual support,,,Ujaama,,,,,East Africa (Swahili),East Africa,,,,,,,,Mgeni njoo mwenyeji apone (Welcome the guest so the host may prosper),,,,,,,,,,,,,,,,
,Purpose councils|Planning committees,,,,,,Purpose and collective vocation - community mission,,,,,,,,Define purpose; work toward collective goals; serve community vision,,920,,,,SoulLayer:Philosophy,,,Goal-setting|collective planning|purposeful action,,,Nia,,,,,Pan-African (Kwanzaa),Pan-African,,,,,,,,Kazi bila nia ni mauti (Work without purpose is death),,,,,,,,,,,,,,,,
,Self-governance bodies|Cultural councils,,,,,,Self-determination and autonomy - defining oneself,,,,,,,,Define yourself; determine your path; claim autonomy,,921,,,,SoulLayer:Philosophy,,,Cultural identity|self-naming|autonomous governance,,,Kujichagulia,,,,,Pan-African (Kwanzaa),Pan-African,,,,,,,,Jina lako ni mali yako (Your name is your wealth),,,,,,,,,,,,,,,,
,Unity councils|Pan-African forums,,,,,,Unity and togetherness - collective solidarity,,,,,,,,Unite for common cause; build solidarity; work together,,922,,,,SoulLayer:Philosophy,,,Pan-African solidarity|unified action|common cause,,,Umoja,,,,,Pan-African (Kwanzaa),Pan-African,,,,,,,,Umoja ni nguvu utengano ni udhaifu (Unity is strength division is weakness),,,,,,,,,,,,,,,,
,Work committees|Community projects,,,,,,Collective work and responsibility - shared burden,,,,,,,,Share burdens; work together; take collective responsibility,,923,,,,SoulLayer:Philosophy,,,Community projects|mutual responsibility|collective labor,,,Ujima,,,,,Pan-African (Kwanzaa),Pan-African,,,,,,,,Haba na haba hujaza kibaba (Little by little fills the measure),,,,,,,,,,,,,,,,
,Planning councils|Development committees,,,,,,Community purpose - collective vision and goals,,,,,,,,Align individual goals with community; serve collective vision,,924,,,,SoulLayer:Philosophy,,,Village planning|community development|shared objectives,,,Nia ya Jamii,,,,,East Africa,East Africa,,,,,,,,Kidole kimoja hakivunji chawa (One finger cannot crush a louse),,,,,,,,,,,,,,,,
,Speaking councils|Verbal tribunals,,,,,,Generative power of the word - creative speech,,,,,,,,Speak with care; honor your word; create through speech,,925,,,,SoulLayer:Philosophy,,,Oral tradition|verbal contracts|spoken agreements,,,Nommo,,,,,West Africa (Dogon),West Africa,,,,,,,,Neno ni fedha kimya ni dhahabu (Speech is silver silence is golden),,,,,,,,,,,,,,,,
,Temple courts|Divine councils,,,,,,Cosmic justice and balance - universal order,,,,,,,,Maintain cosmic order; judge fairly; seek truth,,926,,,,SoulLayer:Philosophy,,,Temple law|judicial balance|cosmic alignment,,,Maat,,,,,Ancient Egypt,North Africa,,,,,,,,Ma'at is the food of the gods,,,,,,,,,,,,,,,,
,Creative councils|Innovation forums,,,,,,Creativity and innovation - building legacy,,,,,,,,Create beauty; innovate solutions; leave legacy,,927,,,,SoulLayer:Philosophy,,,Artistic creation|innovation|cultural production,,,Kuumba,,,,,Pan-African (Kwanzaa),Pan-African,,,,,,,,Mti ukigwa huegemea mti (When a tree falls it leans on another),,,,,,,,,,,,,,,,
,Faith councils|Spiritual forums,,,,,,Faith in community - belief in collective potential,,,,,,,,Have faith in people; believe in community; trust collective wisdom,,928,,,,SoulLayer:Philosophy,,,Collective confidence|spiritual grounding|community trust,,,Imani,,,,,Pan-African (Kwanzaa),Pan-African,,,,,,,,Imani ni utajiri (Faith is wealth),,,,,,,,,,,,,,,,
,Community councils|Collective bodies,,,,,,Priority of community over individual - collective wellbeing,,,,,,,,Prioritize community; share resources; decide collectively,,929,,,,SoulLayer:Philosophy,,,Shared ownership|collective decision-making|community priority,,,Communalism,,,,,Pan-African,Pan-African,,,,,,,,Moja kwa moja ni riziki ya Mungu (One by one is God's provision),,,,,,,,,,,,,,,,
,Palaver councils|Discussion forums,,,,,,Extended dialogue and consensus - thorough discussion,,,,,,,,Discuss thoroughly; seek consensus; hear all voices,,930,,,,SoulLayer:Philosophy,,,Palaver trees|extended debate|consensus-building,,,Palaver,,,,,West Africa,West Africa,,,,,,,,Ndege hapo mku wa mwenzake (A bird does not drink where another bird is drinking),,,,,,,,,,,,,,,,
,Spiritual councils|Power keepers,,,,,,Spiritual power and influence - sacred energy,,,,,,,,Use power wisely; honor spiritual forces; channel energy,,931,,,,SoulLayer:Philosophy,,,Spiritual objects|power concentration|energy manipulation,,,Mojo,,,,,West Africa,West Africa,,,,,,,,Nguvu ya mungu (Power of God),,,,,,,,,,,,,,,,
,Stool councils|Royal courts,,,,,,Sacred authority and ancestral connection - throne of power,,,,,,,,Honor ancestors; respect authority; maintain tradition,,932,,,,SoulLayer:Philosophy,,,Stool ceremonies|ancestral authority|royal lineage,,,Ashanti Stool,,,,,Ghana,West Africa,,,,,,,,Akoma ntoaso (Joined hearts),,,,,,,,,,,,,,,,
,Dual councils|Balance keepers,,,,,,Divine duality - cosmic balance of opposites,,,,,,,,Honor duality; seek balance; embrace complementarity,,933,,,,SoulLayer:Philosophy,,,Dual divinity|complementary opposites|cosmic balance,,,Mawu-Lisa,,,,,West Africa (Fon),West Africa,,,,,,,,Mawu creates Lisa completes,,,,,,,,,,,,,,,,
,Ofo holders|Title societies,,,,,,Divine order and natural law - cosmic harmony,,,,,,,,Follow natural law; honor cycles; maintain harmony,,934,,,,SoulLayer:Philosophy,,,Four market days|cosmic cycles|natural law,,,Odinani,,,,,Nigeria (Igbo),West Africa,,,,,,,,Onye aghana nwanne ya (No one should forget their brother),,,,,,,,,,,,,,,,
,Orisha councils|Priest councils,,,,,,Divine forces and spiritual principles - sacred powers,,,,,,,,Honor spiritual forces; worship properly; seek divine guidance,,935,,,,SoulLayer:Philosophy,,,Orisha worship|spiritual forces|divine intermediaries,,,Orisa,,,,,Nigeria (Yoruba),West Africa,,,,,,,,Orisa ko mo eni ti o ko (The Orisha does not know who did not worship),,,,,,,,,,,,,,,,
,Vodun councils|Priest bodies,,,,,,Spiritual forces and divine mysteries - sacred power,,,,,,,,Respect spiritual forces; honor mysteries; channel divinity,,936,,,,SoulLayer:Philosophy,,,Vodun worship|spiritual possession|divine communication,,,Vodun,,,,,West Africa (Fon/Ewe),West Africa,,,,,,,,Vodun ma nya deka o (Vodun is not one),,,,,,,,,,,,,,,,
,,,,,,,,Public truth-telling|restitution|community service|reconciliation,,,,,,,,,937,,,,Governance:SoulLayer,,,,,,Gacaca Courts,,,,,,,,,,,East Africa,,,,,,,,,,,,Face-to-face justice|cost-effective|community healing|restorative focus,,,,,,,
,,,,,,,,Dialogue circles|restorative justice|community reintegration,,,,,,,,,938,,,,Governance:SoulLayer,,,,,,Ubuntu Councils,,,,,,,,,,,Southern Africa,,,,,,,,,,,,Community ownership|relationship restoration|inclusive participation,,,,,,,
,,,,,,,,Peer pressure|age-mate arbitration|community sanctions,,,,,,,,,939,,,,Governance:SoulLayer,,,,,,Age-Grade Systems,,,,,,,,,,,West Africa,,,,,,,,,,,,Social cohesion|distributed power|peer accountability,,,,,,,
,,,,,,,,Family mediation|clan arbitration|elder judgment,,,,,,,,,940,,,,Governance:SoulLayer,,,,,,Clan Assemblies,,,,,,,,,,,East Africa,,,,,,,,,,,,Kinship-based legitimacy|cultural continuity|accessible justice,,,,,,,
,,,,,,,,Elder mediation|wisdom application|moral guidance,,,,,,,,,941,,,,Governance:SoulLayer,,,,,,Council of Elders,,,,,,,,,,,Pan-African,,,,,,,,,,,,Wisdom-based authority|cultural legitimacy|moral grounding,,,,,,,
